WindowSize,BatchSize,clFFT (ns),cuFFT (ns),OCCA (ns)
64,1825002,494048,637824,5568
64,1828127,497376,640448,5760
64,1831252,498304,639104,5984
64,1834377,504032,641376,6144
64,1837502,502464,642592,6496
64,1840627,501024,648288,6080
64,1843752,513120,643104,5696
64,1846877,505344,649504,6592
64,1850002,505376,646656,6272
64,1853127,504928,646624,8159
64,1856252,504992,648224,6272
64,1859377,505952,651968,7232
64,1862502,504928,651072,7104
64,1865627,512672,651200,10752
64,1868752,507808,651776,6912
64,1871877,511616,653184,5632
64,1875002,523392,653120,9952
64,1878127,508672,660480,6368
64,1881252,513216,657984,6656
64,1884377,512512,656256,6304
64,1887502,513024,660736,5696
64,1890627,515264,663680,6368
64,1893752,520288,659680,6336
64,1896877,520512,664960,6112
64,1900002,519072,663040,16512
64,1903127,519776,667936,5888
64,1906252,518144,665632,6240
64,1909377,523584,666784,6816
64,1912502,531328,666688,5248
64,1915627,518080,667936,5984
64,1918752,520384,672064,6656
64,1921877,531328,670560,6368
64,1925002,525952,673888,6208
64,1928127,525760,674848,6752
64,1931252,530272,675200,5760
64,1934377,530208,673888,5920
64,1937502,528832,676256,10304
64,1940627,528928,675776,10848
64,1943752,536064,681824,6592
64,1946877,534336,683072,6784
64,1950002,531648,682240,6144
64,1953127,534432,686240,5952
64,1956252,532832,681056,5920
64,1959377,542624,682560,7520
64,1962502,535296,685728,6560
64,1965627,535680,684640,5856
64,1968752,542688,687680,6080
64,1971877,534592,689696,10272
64,1975002,536480,690624,6016
64,1978127,540544,689888,6624
64,1981252,537664,691232,6432
64,1984377,539520,694720,7872
64,1987502,540640,696320,6560
64,1990627,540896,694752,6816
64,1993752,548416,697280,6176
64,1996877,554848,702912,6656
64,2000002,547072,697632,6528
64,2003127,542816,700928,6528
64,2006252,547392,719904,9472
64,2009377,548672,701216,14112
64,2012502,551264,702560,6240
64,2015627,555680,705568,5216
64,2018752,548192,703648,6816
64,2021877,551488,705216,5920
64,2025002,547840,705376,5760
64,2028127,551904,706048,5920
64,2031252,556640,709344,5280
64,2034377,553088,708224,5664
64,2037502,558176,712000,6624
64,2040627,562592,712000,5888
64,2043752,559872,711392,6208
64,2046877,557440,712320,6464
64,2050002,557568,716128,8576
64,2053127,556640,718304,5632
64,2056252,560288,717440,5440
64,2059377,559200,715808,5760
64,2062502,566272,721120,4448
64,2065627,560096,721760,5984
